SN,ID,IO,Type,ID_TimeSeries,Qcons_cms
1,1,1,2,1,-999
2,2,1,2,2,-999
3,3,1,2,3,-999
4,4,1,2,4,-999
5,5,1,2,5,-999
6,6,1,2,6,-999
7,7,1,2,7,-999
8,8,1,2,8,-999
9,9,1,2,9,-999
10,10,1,2,10,-999
11,11,1,2,11,-999
12,12,1,2,12,-999
13,13,1,2,13,-999
14,14,1,2,14,-999
15,15,1,2,15,-999
16,16,1,2,16,-999
17,17,1,2,17,-999
18,18,1,2,18,-999
19,19,1,2,19,-999
20,20,1,2,20,-999
21,21,1,2,21,-999
22,22,1,2,22,-999
23,23,1,2,23,-999
24,24,1,2,24,-999
25,25,1,2,25,-999
26,26,1,2,26,-999
27,27,1,2,27,-999
28,28,1,2,28,-999
29,29,1,2,29,-999
30,30,1,2,30,-999
31,31,1,2,31,-999
32,32,1,2,32,-999
33,33,1,2,33,-999
34,34,1,2,34,-999
35,35,1,2,35,-999
36,36,1,2,36,-999
37,37,1,2,37,-999
38,38,1,2,38,-999
39,39,1,2,39,-999
40,40,1,2,40,-999
41,41,1,2,41,-999
42,42,1,2,42,-999
43,43,1,2,43,-999
44,44,1,2,44,-999
45,45,1,2,45,-999
46,46,1,2,46,-999
47,47,1,2,47,-999
48,48,1,2,48,-999
49,49,1,2,49,-999
50,50,1,2,50,-999
51,51,1,2,51,-999
52,52,1,2,52,-999
53,53,1,2,53,-999
54,54,1,2,54,-999
55,55,1,2,55,-999
56,56,1,2,56,-999
57,57,1,2,57,-999
58,58,1,2,58,-999
59,59,1,2,59,-999
60,60,1,2,60,-999
61,61,1,2,61,-999
62,62,1,2,62,-999
63,63,1,2,63,-999
64,64,1,2,64,-999
65,65,1,2,65,-999
66,66,1,2,66,-999
67,67,1,2,67,-999
68,68,1,2,68,-999
69,69,1,2,69,-999
70,70,1,2,70,-999
71,71,1,2,71,-999
72,72,1,2,72,-999
73,73,1,2,73,-999
74,74,1,2,74,-999
75,75,1,2,75,-999
76,76,1,2,76,-999
77,77,1,2,77,-999
78,78,1,2,78,-999
79,79,1,2,79,-999
80,80,1,2,80,-999
81,81,1,2,81,-999
82,82,1,2,82,-999
83,83,1,2,83,-999
84,84,1,2,84,-999
85,85,1,2,85,-999
86,86,1,2,86,-999
87,87,1,2,87,-999
88,88,1,2,88,-999
89,89,1,2,89,-999
90,90,1,2,90,-999
91,91,1,2,91,-999
92,92,1,2,92,-999
93,93,1,2,93,-999
94,94,1,2,94,-999
95,95,1,2,95,-999
96,96,1,2,96,-999
97,97,1,2,97,-999
98,98,1,2,98,-999
99,99,1,2,99,-999
100,100,1,2,100,-999
101,101,1,2,101,-999
102,102,1,2,102,-999
103,103,1,2,103,-999
104,104,1,2,104,-999
105,105,1,2,105,-999
106,106,1,2,106,-999
107,107,1,2,107,-999
108,108,1,2,108,-999
109,109,1,2,109,-999
110,110,1,2,110,-999
111,111,1,2,111,-999
112,112,1,2,112,-999
113,113,1,2,113,-999
114,114,1,2,114,-999
115,115,1,2,115,-999
116,116,1,2,116,-999
117,117,1,2,117,-999
118,118,1,2,118,-999
119,119,1,2,119,-999
120,120,1,2,120,-999
121,121,1,2,121,-999
122,122,1,2,122,-999
123,123,1,2,123,-999
124,124,1,2,124,-999
125,125,1,2,125,-999
126,126,1,2,126,-999
